Obs,RegOut1,ClassLabel,RegOut2,TimeTouchBps,Input1,Input2,Input3,Input4,Input5
80,85.9923,FALSE,251.36,1.5335,0.917525773,0,42.95,106.0946,0
81,115.1111,FALSE,160.64,0.3393,0.819277108,0.03333,3.69,12.4158,1.05
82,91.2593,FALSE,461.46,4.3377,0.88,0.6875,44.28,86.7431,38.68
83,80.5566,FALSE,385.67,1.7718,0.271428571,0,0,0,0
84,88.4807,FALSE,146.62,0.663,0.762886598,0.05084,0,0,0
85,165.602,TRUE,48.63,0.8117,0.699186992,0,0,0,16.35
86,43.2689,FALSE,409.12,1.5117,0.945054945,0.85416,43.58,102.7757,0
87,37.8955,FALSE,1447.78,0.8968,0.550317797,0,0,0,8.6
88,76.6616,FALSE,133.84,0.427,0.90052356,0,29.56,63.4908,3.52
89,141.2856,FALSE,90.78,1.7412,0.833333333,0,17.91,46.0962,0
90,185.3581,TRUE,106.18,1.2589,0.132653061,0,12.93,33.29,1.91
91,132.0675,FALSE,667.14,4.7931,0.485981308,0.08333,21.12,54.3509,5.79
92,100.4387,FALSE,7799.73,4.6517,0.663946133,0.01023,156.83,363.6214,151.91
93,303.1749,TRUE,3.32,2.7621,1,0,0,0,0
94,300.2816,TRUE,32.46,2.3463,0.6,0,0,0,0.62
95,63.3634,FALSE,423.58,0.9553,0.337899543,0,15.65,35.4549,18.54
96,136.112,FALSE,122.79,7.1038,0,0,0.38,1,0.32
97,184.9218,TRUE,81.63,2.3476,0.823529412,0,0,0,21.08
98,33.6673,FALSE,1981.07,0.392,0.871030883,0,207.79,438.1129,30.43
99,65.5472,FALSE,1057.95,1.5422,0.698684211,0.6909,98.01,209.5727,24.4
100,64.9117,FALSE,52.88,0.4064,0.75,0,3.93,10.1321,0
101,98.2008,FALSE,166.23,1.8372,0.806722689,0,32.33,83.2047,3.29
102,125.1509,FALSE,118.87,2.0706,0.209302326,0.08333,0,0,1.67
103,264.9952,TRUE,11.81,2.5937,0.75,0,0,0,0
104,74.8869,FALSE,260.08,2.173,0.733870968,0,28.71,65.0504,3.07
105,67.4235,FALSE,1609.52,1.194,0.110011001,0,0,0,14.94
106,49.1023,FALSE,173.96,1.5837,0.691489362,0,0,0,0.65
107,99.9032,FALSE,20.19,0.3114,0.742857143,0,0,0,0
108,73.4478,FALSE,645.64,0.9152,0.613333333,0.43414,53.81,138.4594,1.91
109,67.4365,FALSE,390.55,1.446,0.855072464,0.8,0,0,26.36
110,79.7926,FALSE,1322.13,3.5905,0.805084746,0,187.76,483.1042,12.58
111,102.7727,FALSE,475.58,0.2986,0.759856631,0.00476,23.18,59.6411,0.18
112,98.5584,FALSE,1256.23,2.9849,0.036750484,0,38.75,99.7087,16.31
113,166.0667,TRUE,254.23,4.6137,0.894117647,0,24.6,59.7289,3.7
114,88.2531,FALSE,54.69,1.2915,0.655172414,0,0,0,8.13
115,71.4545,FALSE,823.89,0.8408,0.425800194,0,85.13,201.9026,18.22
116,95.6526,FALSE,180.76,1.5064,0.613207547,0.55,0,0,2.21
117,103.5324,FALSE,54.53,0.3858,0.666666667,0,0,0,0.32
118,96.6752,FALSE,324.41,1.0063,0.445182724,0,0,0,22.09
119,72.8334,FALSE,18.36,0.3405,0.791666667,0,0,0,1.59
120,278.5616,TRUE,10.85,1.2512,0.666666667,0,0,0,0
121,52.4402,FALSE,2510.46,0.572,0.502304147,0.77313,29.36,66.5147,33.45
122,100.0454,FALSE,153.32,0.9355,0.466666667,0.28571,0,0,19.45
123,67.2234,FALSE,576.33,1.7863,0.813114754,0.8913,0,0,38.4
124,76.1374,FALSE,151.88,0.435,0.823529412,0.4322,4.4,11.3218,3.4
125,176.0285,TRUE,211.07,7.7637,0.613636364,0,20.27,52.1644,0
126,224.1189,TRUE,89.64,2.8837,0.768361582,0,0,0,3.6
127,76.9056,FALSE,132.09,0.2786,0.258373206,0,21.53,48.7666,0.32
128,96.9703,FALSE,354.29,4.3536,0.786885246,0,0,0,0.62
129,425.1027,TRUE,5.53,1.2248,0.823529412,0,0,0,0.32
130,130.7743,FALSE,227.88,2.4985,0.38125,0,0,0,3.9
131,99.6807,FALSE,128.09,2.6265,0.469387755,0,0.03,1,0.62
132,126.2707,FALSE,17.56,0.218,0.466666667,0,4.47,8.7648,0
133,104.152,FALSE,215.39,0.9693,0.707070707,0.08823,0,0,3.22
134,70.2388,FALSE,111.26,0.5551,0.884422111,0,25.19,49.3574,12.83
135,60.0464,FALSE,485.92,1.8528,0.224913495,0,11.6,29.8588,3.26
136,19.6351,FALSE,588.34,0.4681,0.416256158,0.0707,18.61,47.8929,0.32
137,83.1783,FALSE,752.3,1.6708,0.028892456,0,19.67,44.5593,59.17
138,53.847,FALSE,1033.71,1.8881,0.10483871,0.11643,70.7,160.1386,7.34
