DATE,USERS
11/05/2016,62913
11/06/2016,41122
11/07/2016,91589
11/08/2016,99378
11/09/2016,111483
11/10/2016,115186
11/11/2016,100007
11/12/2016,74074
11/13/2016,49665
11/14/2016,101608
11/15/2016,108191
11/16/2016,104238
11/17/2016,100012
11/18/2016,98626
11/19/2016,70823
11/20/2016,46618
11/21/2016,97220
11/22/2016,113574
11/23/2016,98100
11/24/2016,64113
11/25/2016,68944
11/26/2016,66991
11/27/2016,49769
11/28/2016,98642
11/29/2016,102828
11/30/2016,105746
12/01/2016,105514
12/02/2016,99517
12/03/2016,73613
12/04/2016,46481
12/05/2016,99140
12/06/2016,108869
12/07/2016,112821
12/08/2016,118057
12/09/2016,115273
12/10/2016,85247
12/11/2016,51535
12/12/2016,103913
12/13/2016,115055
12/14/2016,111315
12/15/2016,104182
12/16/2016,101530
12/17/2016,68944
12/18/2016,43534
12/19/2016,90718
12/20/2016,102025
12/21/2016,98160
12/22/2016,88527
12/23/2016,80348
12/24/2016,66195
12/25/2016,39913
12/26/2016,66140
12/27/2016,96198
12/28/2016,102165
12/29/2016,96002
12/30/2016,95243
12/31/2016,58315
01/01/2017,52728
01/02/2017,82458
01/03/2017,122194
01/04/2017,108396
01/05/2017,100845
01/06/2017,98723
01/07/2017,76874
01/08/2017,70473
01/09/2017,131964
01/10/2017,101981
01/11/2017,116421
01/12/2017,98538
01/13/2017,112820
01/14/2017,72567
01/15/2017,57558
01/16/2017,102439
01/17/2017,101539
01/18/2017,107290
01/19/2017,102374
01/20/2017,98983
01/21/2017,66605
01/22/2017,57624
01/23/2017,110461
01/24/2017,98337
01/25/2017,118855
01/26/2017,116758
01/27/2017,102575
01/28/2017,68171
01/29/2017,57310
01/30/2017,108299
01/31/2017,97449
02/01/2017,96062
02/02/2017,92553
02/03/2017,94753
02/04/2017,72754
02/05/2017,55527
02/06/2017,108144
02/07/2017,95635
02/08/2017,92251
02/09/2017,94321
02/10/2017,101850
02/11/2017,71605
02/12/2017,58639
02/13/2017,106957
02/14/2017,109778
02/15/2017,110131
02/16/2017,113156
02/17/2017,103198
02/18/2017,69840
02/19/2017,54069
02/20/2017,102696
02/21/2017,109375
02/22/2017,123299
02/23/2017,118282
02/24/2017,123982
02/25/2017,93071
02/26/2017,56995
02/27/2017,117001
02/28/2017,123392
03/01/2017,146177
03/02/2017,147840
03/03/2017,126356
03/04/2017,92572
03/05/2017,58189
03/06/2017,113521
03/07/2017,121521
03/08/2017,109641
03/09/2017,115608
03/10/2017,119311
03/11/2017,87305
03/12/2017,54711
03/13/2017,110841
03/14/2017,113722
03/15/2017,123131
03/16/2017,122461
03/17/2017,113299
03/18/2017,87373
03/19/2017,57316
03/20/2017,116671
03/21/2017,120069
03/22/2017,114267
03/23/2017,110715
03/24/2017,105186
03/25/2017,73724
03/26/2017,53015
03/27/2017,106782
03/28/2017,114413
03/29/2017,119638
03/30/2017,117933
03/31/2017,118197
04/01/2017,84633
04/02/2017,58781
04/03/2017,121049
04/04/2017,121717
04/05/2017,117988
04/06/2017,113512
04/07/2017,119358
04/08/2017,85144
04/09/2017,61616
04/10/2017,130974
04/11/2017,122489
04/12/2017,113016
04/13/2017,112233
04/14/2017,110641
04/15/2017,76812
04/16/2017,52211
04/17/2017,123458
04/18/2017,128802
04/19/2017,120001
04/20/2017,120777
04/21/2017,120851
04/22/2017,85615
04/23/2017,54273
04/24/2017,120334
04/25/2017,140028
04/26/2017,136886
04/27/2017,127468
04/28/2017,124648
04/29/2017,90092
04/30/2017,59612
05/01/2017,123727
05/02/2017,130194
05/03/2017,123878
05/04/2017,120195
05/05/2017,120676
05/06/2017,91273
05/07/2017,57195
05/08/2017,119768
05/09/2017,125503
05/10/2017,119313
05/11/2017,119071
05/12/2017,115558
05/13/2017,84164
05/14/2017,54210
05/15/2017,121401
05/16/2017,129815
05/17/2017,121241
05/18/2017,117880
05/19/2017,117324
05/20/2017,88670
05/21/2017,55147
05/22/2017,119527
05/23/2017,125981
05/24/2017,124500
05/25/2017,121309
05/26/2017,121502
05/27/2017,85106
05/28/2017,47348
05/29/2017,76627
05/30/2017,121560
05/31/2017,126221
06/01/2017,129379
06/02/2017,132587
06/03/2017,93842
06/04/2017,59365
06/05/2017,124718
06/06/2017,124799
06/07/2017,123291
06/08/2017,124257
06/09/2017,122745
06/10/2017,82283
06/11/2017,55348
06/12/2017,120723
06/13/2017,126267
06/14/2017,127746
06/15/2017,123934
06/16/2017,119361
06/17/2017,85134
06/18/2017,55196
06/19/2017,113587
06/20/2017,135497
06/21/2017,119308
06/22/2017,117812
06/23/2017,117503
06/24/2017,82635
06/25/2017,54965
06/26/2017,121100
06/27/2017,120008
06/28/2017,111662
06/29/2017,121203
06/30/2017,113830
07/01/2017,88781
07/02/2017,53616
07/03/2017,102905
07/04/2017,84425
07/05/2017,124089
07/06/2017,126119
07/07/2017,123380
07/08/2017,97188
07/09/2017,69256
07/10/2017,149556
07/11/2017,136269
07/12/2017,132353
07/13/2017,132136
07/14/2017,130883
07/15/2017,85449
07/16/2017,60583
07/17/2017,122236
07/18/2017,133998
07/19/2017,129986
07/20/2017,131404
07/21/2017,120982
07/22/2017,86822
07/23/2017,55341
07/24/2017,121882
07/25/2017,132811
07/26/2017,133669
07/27/2017,131948
07/28/2017,127374
07/29/2017,90565
07/30/2017,56176
07/31/2017,130888
08/01/2017,141593
08/02/2017,143889
08/03/2017,135795
08/04/2017,125128
08/05/2017,92713
08/06/2017,58810
08/07/2017,127444
08/08/2017,130638
08/09/2017,120303
08/10/2017,107317
08/11/2017,102615
08/12/2017,75429
08/13/2017,49968
08/14/2017,112089
08/15/2017,122903
08/16/2017,115849
08/17/2017,112084
08/18/2017,105410
08/19/2017,74800
08/20/2017,47131
08/21/2017,102161
08/22/2017,115740
08/23/2017,109281
08/24/2017,108272
08/25/2017,97916
08/26/2017,76225
08/27/2017,49953
08/28/2017,109687
08/29/2017,114103
08/30/2017,102331
08/31/2017,106757
09/01/2017,100509
09/02/2017,73186
09/03/2017,43161
09/04/2017,62764
09/05/2017,102874
09/06/2017,105122
09/07/2017,103788
09/08/2017,97513
09/09/2017,63992
09/10/2017,44565
09/11/2017,104399
09/12/2017,118340
09/13/2017,115000
09/14/2017,113660
09/15/2017,112713
09/16/2017,75678
09/17/2017,51101
09/18/2017,114530
09/19/2017,118908
09/20/2017,116060
09/21/2017,112274
09/22/2017,107188
09/23/2017,76903
09/24/2017,47493
09/25/2017,109074
09/26/2017,112415
09/27/2017,113077
09/28/2017,115826
09/29/2017,116642
09/30/2017,83426
10/01/2017,55859
10/02/2017,120218
10/03/2017,133154
10/04/2017,130135
10/05/2017,131152
10/06/2017,125831
10/07/2017,90351
10/08/2017,61414
10/09/2017,123761
10/10/2017,129989
10/11/2017,127386
10/12/2017,130472
10/13/2017,125639
10/14/2017,89067
10/15/2017,56298
10/16/2017,121578
10/17/2017,134395
10/18/2017,134558
10/19/2017,130322
10/20/2017,124772
10/21/2017,87118
10/22/2017,58901
10/23/2017,118805
10/24/2017,129764
10/25/2017,126122
10/26/2017,118593
10/27/2017,121983
10/28/2017,91463
10/29/2017,57944
10/30/2017,118162
10/31/2017,122313
11/01/2017,130425
11/02/2017,128786
11/03/2017,123428
11/04/2017,91423
11/05/2017,59042
11/06/2017,122988
11/07/2017,131211
11/08/2017,125679
11/09/2017,122389
11/10/2017,114626
11/11/2017,84092
11/12/2017,55105
11/13/2017,117996
11/14/2017,118035
11/15/2017,121373
11/16/2017,122291
11/17/2017,115666
11/18/2017,85879
11/19/2017,54611
11/20/2017,116296
11/21/2017,127957
11/22/2017,119358
11/23/2017,77721
11/24/2017,84306
11/25/2017,78927
11/26/2017,57798
11/27/2017,123616
11/28/2017,135082
11/29/2017,138399
11/30/2017,146090
12/01/2017,142596
12/02/2017,91097
12/03/2017,58823
12/04/2017,130808
12/05/2017,130920
12/06/2017,120236
12/07/2017,123840
12/08/2017,121708
12/09/2017,54297
